"ZIP
Code",mean_AGI,returns,zip_AGI
64105,44.53,"2,467","109,867"
64106,38.25,"2,980","113,980"
64108,48.43,"3,856","186,743"
64109,34.07,"3,924","133,683"
64110,38.43,"6,521","250,615"
64111,41.54,"8,629","358,479"
64112,144.48,"4,702","679,347"
64113,158.38,"5,839","924,760"
64114,54.70,"13,180","720,927"
64117,35.20,"6,595","232,132"
64118,44.28,"19,622","868,827"
64120,117.11,174,"20,378"
64123,27.71,"3,705","102,670"
64124,23.53,"4,353","102,441"
64125,24.21,662,"16,029"
64126,22.85,"2,023","46,224"
64127,23.87,"6,255","149,288"
64128,24.49,"4,475","109,572"
64129,31.29,"3,993","124,930"
64130,26.03,"8,586","223,463"
64131,42.10,"10,014","421,632"
64132,25.77,"5,743","147,974"
64133,42.17,"16,060","677,215"
64134,33.29,"9,579","318,873"
64136,41.45,925,"38,341"
64137,34.81,"4,843","168,577"
64138,40.01,"12,046","481,954"
64139,76.43,723,"55,256"
64145,82.95,"2,586","214,498"
64146,55.90,705,"39,410"
64147,14.42,149,"2,148"
64149,65.66,194,"12,738"
64151,59.99,"12,204","732,164"
64152,91.17,"12,097","1,102,847"
64153,63.86,"2,616","167,058"
64154,73.21,"4,488","328,547"
64155,61.95,"10,838","671,435"
64156,64.40,"1,918","123,513"
64157,82.70,"6,873","568,419"
64158,62.30,"2,210","137,682"
64161,41.73,198,"8,263"
64163,38.75,366,"14,181"
64164,81.15,117,"9,494"
64166,95.95,120,"11,514"
64167,95.05,145,"13,782"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
